title,author,category,total_copies,available_copies,skip,notes
百年孤獨,加夫列爾·賈西亞·馬奎斯,文學,1,1,False,魔幻現實主義的巔峰之作；布恩迪亞家族與拉丁美洲歷史/孤獨。
安娜·卡列尼娜,列夫·托爾斯泰,文學,1,1,False,愛情、婚姻、道德與社會規範的衝突。
罪與罰,杜斯妥也夫斯基,文學,1,1,False,理性主義與道德掙扎；犯罪者的心理剖析。
大亨小傳,法蘭西斯·史考特·費茲傑羅,文學,1,1,False,美國夢與爵士時代的幻滅。
圍城,錢鍾書,文學,1,1,False,知識分子的婚姻與職場困境的諷刺。
哈姆雷特,威廉·莎士比亞,文學,1,1,False,悲劇巔峰；生存／毀滅的獨白與復仇主題。
怎樣解題,喬治·波利亞,數學,1,1,False,問題解決的通用策略。
哥德爾、艾舍爾、巴赫：一條永恆的金帶,侯世達,數學,1,1,False,自我指涉、形式系統與意識之間的呼應。
費馬大定理,西蒙·辛,數學,1,1,False,數學偵探小說式的解題史。
數學：內容、方法與意義,亞歷山大洛夫等,數學,1,1,False,從初等到高等數學的核心思想總覽。
阿基米德寶典：定理之書,瑞維·內茲爾; 威廉·諾爾,數學,1,1,False,阿基米德手稿的歷史重現與科學價值。
天才的足跡,魏爾,數學,1,1,False,數學史上偉大思想與人物的散文集。
物種起源,查爾斯·達爾文,科學,1,1,False,演化論奠基作，重塑人類自我定位。
時間簡史,史蒂芬·霍金,科學,1,1,False,以通俗語言解釋宇宙學與黑洞等概念。
雙螺旋,詹姆斯·華生,科學,1,1,False,DNA 結構發現歷程的第一手敘事。
別鬧了，費曼先生,理查·費曼,科學,1,1,False,物理學家的好奇心與人生逸事。
混沌：不測風雲的背後,詹姆斯·葛雷易克,科學,1,1,False,混沌理論的誕生與影響。
伽利略的對話,伽利略·伽利萊,科學,1,1,False,為日心說辯護，近代科學方法濫觴。
史記,司馬遷,歷史,1,1,False,中國第一部紀傳體通史；文學價值極高。
羅馬帝國衰亡史,愛德華·吉本,歷史,1,1,False,啟蒙時代的史學里程碑。
槍炮、病菌與鋼鐵：人類社會的命運,賈德·戴蒙,歷史,1,1,False,以地理與環境解釋文明差異。
第三帝國興亡史,威廉·夏伊勒,歷史,1,1,False,納粹德國的崛起與覆滅之全景。
萬曆十五年,黃仁宇,歷史,1,1,False,以小年看大歷史與制度困境。
地中海與菲利普二世時代的地中海世界,費爾南·布勞岱爾,歷史,1,1,False,年鑑學派代表作，強調長時段結構。
藝術的故事,恩斯特·貢布里希,藝術,1,1,False,藝術史入門經典。
觀看的方式,約翰·伯格,藝術,1,1,False,影像／廣告／藝術與權力的關係。
詹森藝術史,H.W. 詹森,藝術,1,1,False,西方藝術史權威教科書。
梵谷傳,歐文·斯通,藝術,1,1,False,梵谷的一生與創作。
羅丹藝術論,奧古斯特·羅丹,藝術,1,1,False,談創作本質、美與自然。
想像的博物館,安德烈·馬爾羅,藝術,1,1,False,無牆的博物館觀念；攝影改變觀看方式。
第二性,西蒙·波娃,其他,1,1,False,女性主義奠基作；存在主義視角。
物種源始（疑似誤植）,（未知）,其他,1,1,True,原文說明指向現象學或存在主義；與達爾文無關——建議改正或刪除。
瘋癲與文明,米歇爾·傅柯,其他,1,1,False,權力/知識如何定義理性與瘋癲。
正義論,約翰·羅爾斯,其他,1,1,False,無知之幕等政治哲學經典。
夢的解析,西格蒙德·佛洛伊德,其他,1,1,False,精神分析的經典之作，影響廣泛。
人類大歷史：從野獸到扮演上帝,尤瓦爾·赫拉利,其他,1,1,False,從認知/農業/科學革命重述智人史。
